Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,Date
2020-01-03,0.9902777671400217,0.9878609653440791,0.9947688260387662,0.9947088981283638,0.9875481106356028,0.9839944804589037,1.0296332582979209,2020-01-03
2020-01-06,0.9981689303403478,1.0025658427767699,1.0212833019781407,1.0134427837273612,0.9901007086447574,0.9881208036706034,1.049458472976047,2020-01-06
2020-01-07,0.9934744798600698,1.0046628299615445,1.019310688521538,1.0156354959000644,0.9810732157440432,1.0000835084469273,1.0901780123344627,2020-01-07
2020-01-08,1.0094555253723072,0.9968177793384859,1.0265658332607916,1.0259319921167216,0.9967002030414619,1.0019592550631387,1.1438200315094207,2020-01-08
2020-01-09,1.0308973594804598,1.0016016820917906,1.037342590928753,1.040614131723656,1.0091515948040015,1.0129634489275992,1.1187188873063767,2020-01-09
2020-01-10,1.033227640086744,0.9921760125053884,1.0440425395266757,1.039469914333012,1.0044826960944424,1.018382157166889,1.111304804272344,2020-01-10
2020-01-13,1.0553019339650307,0.996464770952949,1.0521307022571038,1.0578225888416797,1.016560786943405,1.0503108853420244,1.2198670135677494,2020-01-13
2020-01-14,1.0410519690346522,0.984947420160694,1.0452334923135207,1.0442368418285755,1.009401092375406,1.030720170938438,1.2502207474766565,2020-01-14
2020-01-15,1.0365904416946692,0.9810380392060392,1.051524148794356,1.054199732706846,1.015938087978795,1.0235924934688174,1.205085261156949,2020-01-15
2020-01-16,1.0495752772441125,0.9894258271578976,1.0595319747997791,1.0571552321349929,1.0345535725126325,1.0375979617552074,1.1934411517715289,2020-01-16
2020-01-17,1.0611954140161606,0.9824606043124104,1.0809832230512246,1.0589189814355096,1.0403434686870097,1.0390565653167387,1.1864918702622578,2020-01-17
2020-01-21,1.05400364975872,0.9968335364880114,1.0829778787568887,1.0555821248871193,1.0366079715419505,1.0334712393635508,1.2717891341106669,2020-01-21
2020-01-22,1.057765883076151,0.994441585111359,1.0841614468308505,1.0550101257142328,1.031627375028786,1.0425164176728463,1.3237578013012716,2020-01-22
2020-01-23,1.0628597652659348,0.9929241555333564,1.0847605036911256,1.0475736983769655,1.0379777699355723,1.0539787902915283,1.3298935803993932,2020-01-23
2020-01-24,1.0597968259710562,0.980837859092173,1.0712292481176255,1.038898061190039,1.0275184774497783,1.044058529681305,1.3127411407266747,2020-01-24
2020-01-27,1.028632863923259,0.9632931574256615,1.0460663984151064,1.0242636003500047,1.0103347925010204,1.0012090362526453,1.2969366919709762,2020-01-27
2020-01-28,1.0577324134897752,0.9764174158950089,1.0597803696876782,1.0381828796865382,1.030133275691134,1.0335961826899762,1.3175753425650412,2020-01-28
2020-01-29,1.0798736465408132,0.9789200692864377,1.0643101078145705,1.0641147987883024,1.0461956646139596,1.0234673904704088,1.35032303705971,2020-01-29
2020-01-30,1.0783086548468315,0.9856006987170306,1.0625202100570392,0.998808322887327,1.0757065399015984,1.024592678768153,1.4893553468832403,2020-01-30
2020-01-31,1.0304977179302868,1.0583295106167014,1.0468335134382756,0.9624845500351057,1.0598307516753758,0.9854945188999334,1.5120392571766792,2020-01-31
2020-02-03,1.0276674919350361,1.0559480908042727,1.083233434578493,0.9733531184396061,1.0856681310094134,1.0017509629617682,1.8128573411078657,2020-02-03
2020-02-04,1.0615946358849992,1.079904746423248,1.0560613835237211,1.0002383938345003,1.121404503137579,1.03009489545437,2.0616836175150257,2020-02-04
2020-02-05,1.0702511929179614,1.0747414661770378,1.0565288582271635,1.0015731802628305,1.1200346052235857,1.0452256520385041,1.7075721488000581,2020-02-05
2020-02-06,1.082770287107148,1.0801997910087457,1.0783895104852856,1.0051007518788209,1.1432574848773822,1.0597727276900517,1.7407149578383798,2020-02-06
2020-02-07,1.0680521676488433,1.0955052891766557,1.0806835827314982,1.012155676065931,1.1448760841998078,1.0486851052146553,1.7386464248151625,2020-02-07
2020-02-10,1.0731249608516005,1.1242881345930698,1.10227379785266,1.0156354959000642,1.1748223611128532,1.0961196594611755,1.7925905317336104,2020-02-10
2020-02-11,1.0666505369140684,1.1331869043938174,1.1032965805870223,0.98765382791134,1.1483003811431194,1.1166274498971271,1.799795420833895,2020-02-11
2020-02-12,1.0919810333414786,1.138034076926083,1.1095582576642693,1.0046714969468065,1.149981379738489,1.1360097125273605,1.7833171096101086,2020-02-12
2020-02-13,1.084204967746965,1.132696905279755,1.1057297315925405,1.0160168530203073,1.1437553852961047,1.1286734236124043,1.8686375137919393,2020-02-13
2020-02-14,1.0844721998363034,1.1247938908566573,1.1096312096763912,1.0209744225685142,1.1539659763734664,1.207911682871643,1.8594106383161244,2020-02-14
2020-02-18,1.064614767683824,1.1357527471705873,1.1101500417012504,1.038230558453438,1.1656704677477372,1.2361723464252914,1.9950727048662606,2020-02-18
2020-02-19,1.0800334402086824,1.1434186808082265,1.1141173108635176,1.0367528817543215,1.1691665188789155,1.3117420620470952,2.1322455426099003,2020-02-19
2020-02-20,1.0689533283929846,1.1343986774284787,1.108359920164541,1.022881208169731,1.151311768064988,1.2867327192402103,2.090387206268213,2020-02-20
2020-02-21,1.044757440451678,1.1042987433351683,1.0838618065111245,1.0019067856012167,1.1149158744347496,1.2257515141494524,2.0940826111233077,2020-02-21
2020-02-24,0.9951312768458346,1.058629861181121,1.0373937244709923,0.9568119450133119,1.0668457436231829,1.1390940962162608,1.9378747212936371,2020-02-24
2020-02-25,0.9614235213131492,1.0393728558016622,1.0128884498838706,0.9379827018805146,1.0492406894214028,1.0922848972897994,1.8591316244108462,2020-02-25
