Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Date
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,75.70121002197266,93.47200012207031,71.2711410522461,218.22637939453125,154.76467895507812,6.156191825866699,35.861331939697266,76.88510420958616,94.35549926757812,71.8709640363411,221.5337526530094,156.16790019811782,6.255774255425361,36.49399948120117,75.57774178905865,92.92749786376953,71.13064389247113,217.79802302710817,154.37330115192177,6.142996791879736,34.99333190917969,76.6744745414686,94.29399871826172,71.73993876603046,220.76667858028864,155.96743377813863,6.230380415366528,36.284000396728516,161954400,68818000,26076000,13288900,23477400,359088000,434943000,2020-01-14
2020-01-15,75.37678527832031,93.10099792480469,71.70008087158203,220.30844116210938,155.76695251464844,6.113620281219482,34.56666564941406,76.3839404992497,93.94300079345703,71.77879789678663,220.83642311149785,156.49243609343492,6.191294723070188,35.85599899291992,74.9434163205122,92.75450134277344,71.32444368341595,219.30229003606652,155.18467794940653,6.087728800602581,34.452667236328125,75.50026089033786,93.61250305175781,71.39219885923909,219.7705027384637,155.23239486645008,6.168888615811465,35.31733322143555,121923600,57932000,21550000,10036500,21417900,263104000,260532000,2020-01-15
2020-01-16,76.32099151611328,93.89700317382812,72.24610900878906,220.92608642578125,158.6211395263672,6.19727087020874,34.232666015625,76.43236486391163,94.27950286865234,72.27301191223528,221.78281441202114,158.6879665208014,6.203245864913006,34.297332763671875,75.55836410557868,93.3010025024414,71.73994064880996,219.55133297790888,156.57835716184766,6.143745212332698,32.81133270263672,75.92152071901803,94.14949798583984,72.0114554841839,221.72304516658733,156.88382702393884,6.167147077071657,32.91666793823242,108829200,53190000,26080000,10015300,23865400,284192000,326050500,2020-01-16
2020-01-17,77.16596221923828,93.23600006103516,73.70880126953125,221.294677734375,159.5088653564453,6.205982685089111,34.03333282470703,77.16837823985516,94.33200073242188,73.76011367358568,221.4441008507693,159.8620520660463,6.223907664522405,34.37799835205078,76.26290986480943,92.86250305175781,72.56445103890334,219.69080374860556,157.91471851468566,6.158432034330932,33.54399871826172,76.57037988918707,94.29450225830078,72.86286877720866,221.1850957154445,159.81432058933223,6.216438804380248,33.840667724609375,137816400,79946000,52424000,15905900,34371700,253792000,204436500,2020-01-17
2020-01-21,76.64300537109375,94.5999984741211,73.84481048583984,220.5973358154297,158.93612670898438,6.172623157501221,36.47999954223633,77.23615682397768,94.7135009765625,74.22493276033909,221.52378950195134,160.5493545898603,6.206232317702792,36.571998596191406,76.50500406521856,93.0,73.24497990845329,218.28615703493648,158.86929972428416,6.138515883324439,35.227333068847656,76.79310894375465,93.25,73.682891350434,221.31459714725702,159.10794255718054,6.169386603778593,35.349998474121094,110843200,74156000,48930000,14275800,29517200,217916000,267052500,2020-01-21
2020-01-22,76.91658020019531,94.37300109863281,73.9255142211914,220.47779846191406,158.1724853515625,6.22664737701416,37.97066879272461,77.47099402402007,95.125,74.75799906007849,221.90234945838608,159.88117639299483,6.313284083049567,39.633331298828125,76.82215592624772,94.16699981689453,73.86523925075431,220.43794216509443,158.15338984431403,6.199013206139429,37.27333450317383,77.1296258918447,94.80449676513672,74.21746279473615,221.46402139771055,159.79525389317888,6.217933942490287,38.125999450683594,101832400,64326000,28458000,12212800,24138800,239240000,470535000,2020-01-22
2020-01-23,77.2869873046875,94.22899627685547,73.96636199951172,218.92372131347656,159.14614868164062,6.295108795166016,38.14666748046875,77.3668785027068,94.4990005493164,74.4052768729522,220.64714892772494,159.22251614329255,6.303573408091197,38.79999923706055,76.42024944843635,93.63800048828125,73.74865298533626,218.43559568461785,157.76202303250872,6.17785068616054,37.040000915527344,76.96983114393875,94.25550079345703,74.10885083507527,219.9099594464481,158.64022699310001,6.2667281721820425,37.616668701171875,104472000,49692000,26650000,11195000,19680800,244516000,294765000,2020-01-23
2020-01-24,77.06426239013672,93.08200073242188,73.04370880126953,217.1106719970703,157.54249572753906,6.235857963562012,37.654666900634766,78.2796239983564,94.74949645996094,74.44014342272132,220.93605593781731,159.91938433470375,6.460416669726017,38.25733184814453,76.87299781703734,92.37200164794922,72.8947432066111,215.28763390013822,156.9793019604365,6.1815853834385734,36.95066833496094,77.53394558679635,94.56849670410156,74.37139241036722,219.9597894030977,159.90028882369484,6.410625215974029,38.04199981689453,146537600,75324000,29786000,11905800,24918100,373512000,215304000,2020-01-24
2020-01-27,74.79814147949219,91.41699981689453,71.32793426513672,214.05233764648438,154.9078369140625,5.979930400848389,37.201332092285156,75.48087012755143,92.05000305175781,71.56955866813779,215.2378117013849,155.95787122124548,6.030966423020703,37.62933349609375,73.81277500714687,90.76699829101562,70.71863939255725,211.69136121155654,152.92232676586377,5.7815120107174875,35.95199966430664,75.06687376007451,91.0,71.31846997752507,212.28908407644343,153.82916663173845,5.931134704252316,36.132667541503906,161940000,70570000,34132000,13810700,32078100,470536000,204121500,2020-01-27
2020-01-28,76.91414642333984,92.6624984741211,72.26304626464844,216.96121215820312,157.9434051513672,6.173369407653809,37.793331146240234,77.08603847633346,92.90550231933594,72.47726605072009,217.90760917531398,158.22976494589605,6.20573351675792,38.45399856567383,75.58257224071698,91.5009994506836,71.25967970809778,212.70747222125695,155.66197987278883,5.992626706174366,37.2053337097168,75.68183593003438,92.0250015258789,71.82662476293184,215.31749717188342,156.3397174739805,6.045903527531865,37.89933395385742,162234000,56160000,29724000,13413800,24899900,310976000,176827500,2020-01-28
